  1 -                                             iced coffee
  2 -                                        breakfast bagels
  3 -                                                    eggs
  4 -                                              hashbrowns
  5 -                                                biscotti
  6 -                                              croissants
  7 -                                                danishes
  8 -                                        pain au chocolat
  9 -                                            bran muffins
 10 -                                   blueberry muffins too
 11 -                                       bags for iced tea
